,0
English,8778
Spanish,1037
French,982
Russian,540
German,538
Italian,501
Hindi,418
Mandarin,385
Portuguese,329
Japanese,317
Arabic,212
Turkish,178
Persian,135
Korean,132
Tamil,129
Cantonese,120
Malayalam,112
Latin,109
Swedish,83
Hebrew,76
No Language,75
Telugu,72
Polish,66
Thai,63
Urdu,63
Dutch,54
Hungarian,50
Norwegian,50
Bengali,50
Vietnamese,47
Greek,47
Danish,45
Indonesian,44
Romanian,37
Tagalog,36
Czech,35
Punjabi,32
Ukrainian,32
Kannada,26
Yiddish,26
Malay,25
Finnish,25
Serbian,18
Marathi,18
Catalan,17
Swahili,16
Afrikaans,15
Irish,15
Croatian,15
Georgian,14
Icelandic,14
Bulgarian,13
Estonian,10
Gaelic,9
Slovak,9
Albanian,9
Nepali,9
Galician,8
Tibetan,8
Gujarati,7
Armenian,7
Sanskrit,6
Bosnian,6
Xhosa,6
Mongolian,5
Serbo-Croatian,5
Lithuanian,5
Zulu,5
Burmese,5
Esperanto,5
Amharic,5
Khmer,5
Basque,5
Javanese,4
Pushto,4
Sinhalese,4
Navajo,4
Cree,4
Somali,4
Norwegian Bokmål,4
Haitian; Haitian Creole,4
Sotho,3
Tswana,3
Azerbaijani,3
Welsh,3
Divehi,3
Akan,3
Yoruba,3
Kurdish,3
Dzongkha,3
Abkhazian,3
Moldavian,3
Inuktitut,3
Chichewa; Nyanja,2
Ganda,2
Belarusian,2
Quechua,2
Lingala,2
Samoan,2
Assamese,2
Avaric,2
Maori,2
Chechen,2
Kashmiri,2
Tsonga,1
Tonga,1
Maltese,1
Kazakh,1
Bambara,1
Tatar,1
Uzbek,1
Volapük,1
Letzeburgesch,1
Latvian,1
Afar,1
Breton,1
Ossetian; Ossetic,1
Kanuri,1
Tahitian,1
Norwegian Nynorsk,1
Guarani,1
Hiri Motu,1
Fulah,1
Faroese,1
Northern Sami,1
Lao,1
Ido,1
Sindhi,1
Interlingue,1
Slavic,1
Slovenian,1
Corsican,1
Sundanese,1
Hausa,1
Cornish,1
